yearmo,SENT,SENT_ORTH
199012,-0.23381350934505463,-0.23903200030326843
199101,-0.28025710582733154,-0.48719117045402527
199102,-0.1753617525100708,-0.22841469943523407
199103,-0.23539286851882935,-0.30110833048820496
199104,-0.22159342467784882,-0.2689530849456787
199105,-0.12891702353954315,0.13647300004959106
199106,-0.058753084391355515,0.21271367371082306
199107,-0.19643698632717133,0.016929835081100464
199108,-0.27433085441589355,-0.0005162623710930347
199109,-0.24093244969844818,-0.04269262030720711
199110,-0.24106764793395996,-0.0019966475665569305
199111,-0.05107840150594711,0.11643635481595993
199112,0.031760793179273605,0.24924622476100922
199201,0.15254253149032593,0.3768738806247711
199202,0.31815120577812195,0.43343496322631836
199203,0.4978073239326477,0.39223992824554443
199204,0.4501815140247345,0.49020546674728394
199205,0.44999799132347107,0.5245323181152344
199206,0.4721083641052246,0.587558925151825
199207,0.4393351376056671,0.46738359332084656
199208,0.530232310295105,0.6282214522361755
199209,0.6201040148735046,0.6786662936210632
199210,0.580028235912323,0.7135123014450073
199211,0.6556815505027771,0.7650786638259888
199212,0.7580319046974182,0.8383737802505493
199301,0.7986001968383789,0.8323654532432556
199302,0.8641753792762756,0.8960092067718506
199303,0.7633932828903198,0.9579251408576965
199304,0.4089486002922058,0.6066786646842957
199305,0.2925240099430084,0.4429735839366913
199306,0.2623538672924042,0.33501943945884705
199307,0.30792105197906494,0.4365881085395813
199308,0.24521952867507935,0.3170521855354309
199309,0.294874906539917,0.33718836307525635
199310,0.45709672570228577,0.5134830474853516
199311,0.6190342307090759,0.7734770178794861
199312,0.6471590995788574,0.7031710743904114
199401,0.6761476993560791,0.7058372497558594
199402,0.6102423071861267,0.7003083229064941
199403,0.5424270629882812,0.6583114862442017
199404,0.44732749462127686,0.464870423078537
199405,0.5535293221473694,0.5226891040802002
199406,0.6459983587265015,0.657339334487915
199407,0.563766360282898,0.5746590495109558
199408,0.5924209952354431,0.642719030380249
199409,0.5939969420433044,0.6431251168251038
199410,0.44170117378234863,0.42694100737571716
199411,0.45183759927749634,0.451925128698349
199412,0.31074854731559753,0.3092190623283386
199501,0.3663249611854553,0.3969323933124542
199502,0.38377928733825684,0.39300569891929626
199503,0.24035313725471497,0.27596786618232727
199504,0.010303482413291931,0.051224540919065475
199505,-0.11983330547809601,-0.01738818921148777
199506,-0.14352531731128693,-0.10721088200807571
199507,-0.22857815027236938,-0.15628737211227417
199508,-0.11629064381122589,-0.13016828894615173
199509,-0.06577638536691666,-0.046712782233953476
199510,-0.04492195323109627,-0.01864943839609623
199511,0.03716596961021423,0.04040118306875229
199512,0.0821123942732811,0.10645852237939835
199601,0.14906947314739227,0.2877460718154907
199602,0.14359496533870697,0.3033703863620758
199603,0.20828348398208618,0.30735132098197937
199604,0.17821812629699707,0.3270597755908966
199605,0.20968148112297058,0.326896071434021
199606,0.42659154534339905,0.4837811589241028
199607,0.518711507320404,0.6213052868843079
199608,0.6710070371627808,0.7775421738624573
199609,0.6701481342315674,0.7358304262161255
199610,0.6663734912872314,0.8175777196884155
199611,0.6470463275909424,0.7340327501296997
199612,0.7104524374008179,0.6923238039016724
199701,0.6917544007301331,0.7640792727470398
199702,0.759194016456604,0.7773066759109497
199703,0.7377116084098816,0.7143191695213318
199704,0.9018494486808777,0.8665655851364136
199705,0.7594537734985352,0.7602335810661316
199706,0.6852513551712036,0.7499251961708069
199707,0.49446016550064087,0.4866398274898529
199708,0.6206462383270264,0.5761691331863403
199709,0.7475688457489014,0.7311608195304871
199710,0.5693548917770386,0.48415321111679077
199711,0.6151219010353088,0.5875783562660217
199712,0.6701780557632446,0.665008544921875
199801,0.6285441517829895,0.6161119937896729
199802,0.4418758451938629,0.44083312153816223
199803,0.3771265745162964,0.3336309790611267
199804,0.07729323208332062,0.12481994926929474
199805,0.20439797639846802,0.28594958782196045
