ym,cape,gs10
190812,14.58248290896244,3.769166666666667
190901,14.764418456441348,3.76
190902,14.16715751670136,3.7725
190903,14.33605838058621,3.7849999999999997
190904,14.645198603086111,3.7975
190905,14.953509786582776,3.8099999999999996
190906,15.040444676080995,3.8225
190907,15.231503240497679,3.835
190908,15.417580706254752,3.8474999999999997
190909,15.254446436821171,3.8600000000000003
190910,14.988845296121763,3.8724999999999996
190911,14.745631176824585,3.885
190912,14.750638489265034,3.8975000000000004
191001,14.547885040564147,3.91
191002,14.0020379030327,3.9158333333333335
191003,14.05000696507782,3.921666666666667
191004,13.559883620820079,3.9274999999999998
191005,13.568792287251444,3.9333333333333336
191006,13.019657302315933,3.9391666666666665
191007,12.342581259985213,3.9450000000000003
191008,12.745055150886246,3.9508333333333336
191009,12.937161101070838,3.956666666666667
191010,13.918866656445807,3.9625
191011,14.16452317578035,3.9683333333333333
191012,13.741478417781543,3.9741666666666666
191101,14.049215181401202,3.98
191102,14.721488469928298,3.9825
191103,14.370623221979526,3.985
191104,14.75293542032935,3.9875
191105,15.047660591685036,3.99
191106,15.328355684719273,3.9924999999999997
191107,15.083110578700255,3.995
191108,13.899790665654434,3.9975
191109,12.997953983252426,4.0
191110,13.066472850619185,4.0024999999999995
191111,13.727997586413089,4.005
191112,13.929258419578225,4.0075
191201,13.794952631845817,4.01
191202,13.531634369686586,4.046666666666667
191203,13.639769173944165,4.083333333333333
191204,13.65439269055323,4.12
191205,13.64550068561236,4.156666666666666
191206,13.78541740450252,4.193333333333333
191207,13.802876645015775,4.23
191208,13.984761763426267,4.266666666666667
191209,13.92628500131586,4.303333333333334
191210,13.905092701178457,4.34
191211,13.749541018606523,4.376666666666667
191212,13.388999452579622,4.413333333333333
191301,13.148088791761552,4.45
191302,12.682960516236747,4.425833333333333
191303,12.44345351518365,4.401666666666667
191304,12.433067081795157,4.3775
191305,12.221401061154117,4.3533333333333335
191306,11.491962852761217,4.3291666666666675
191307,11.534022795459853,4.305
191308,11.846840543564623,4.280833333333334
191309,11.843316826625964,4.256666666666667
191310,11.471490240312288,4.2325
191311,11.072537845038003,4.208333333333334
191312,11.174040870036787,4.184166666666667
191401,11.636092105046128,4.16
191402,11.910233879798234,4.166666666666667
191403,11.685526018836823,4.173333333333334
191404,11.522662536200231,4.18
191405,11.479008694164479,4.1866666666666665
191406,11.428715168831884,4.193333333333333
191407,10.69434518304014,4.2
191408,10.492046265076432,4.206666666666667
191409,10.50049730180213,4.213333333333333
191410,10.612759466126223,4.220000000000001
191411,10.516917642992121,4.226666666666667
191412,10.172217991997861,4.233333333333333
191501,10.359834197757268,4.24
191502,10.32978620966069,4.224166666666667
191503,10.707013188682813,4.208333333333334
191504,11.401123789000188,4.1925
191505,11.026929876471314,4.176666666666667
191506,11.154262189096343,4.160833333333333
191507,11.113629393949605,4.145
191508,11.584831641604604,4.129166666666666
191509,12.011570757825899,4.113333333333333
191510,12.549076133220161,4.0975
191511,12.857714453559321,4.081666666666667
191512,12.878444602185995,4.065833333333333
191601,12.543563692516182,4.05
191602,12.354652326458808,4.0649999999999995
191603,12.177052795748489,4.08
191604,11.906481776593191,4.095
191605,12.026256671905172,4.109999999999999
191606,11.99596122294659,4.125
191607,11.79116527525456,4.140000000000001
191608,11.73208263887417,4.155
191609,11.94455241750448,4.17
191610,12.045741763370806,4.1850000000000005
191611,12.05323040323051,4.2
191612,11.413559188849499,4.215
191701,10.99236142738343,4.23
191702,10.063187738735735,4.258333333333333
191703,10.327157080107881,4.286666666666667
191704,9.644531197281239,4.315000000000001
191705,9.138988813373581,4.343333333333334
191706,9.148220259539588,4.371666666666667
191707,9.003472377228809,4.4
191708,8.572680466753784,4.428333333333334
191709,7.950823264217068,4.456666666666667
191710,7.387133711108148,4.485
191711,6.753013604774311,4.513333333333334
191712,6.412593898119822,4.541666666666667
191801,6.640646028655352,4.57
191802,6.784343551630282,4.564166666666667
191803,6.686355760455896,4.558333333333334
191804,6.520727730547161,4.5525
191805,6.582363231621083,4.546666666666667
191806,6.496291318641057,4.5408333333333335
191807,6.371324093848991,4.535
191808,6.303073760914596,4.529166666666667
191809,6.1491705624316815,4.523333333333333
191810,6.290515321191323,4.5175
191811,6.333327495354157,4.511666666666667
191812,6.134580411283433,4.505833333333333
191901,6.098467639950105,4.5
191902,6.239692771364979,4.539166666666667
191903,6.356074004869144,4.578333333333333
191904,6.456139555819275,4.6175
191905,6.829002261482032,4.656666666666666
191906,7.021615214784132,4.695833333333333
191907,7.052837165446311,4.734999999999999
191908,6.479131101705276,4.774166666666666
191909,6.55848167206126,4.813333333333333
191910,6.794704199949302,4.852499999999999
191911,6.46702257413313,4.891666666666667
191912,6.160717033799177,4.930833333333333
192001,5.989667771139438,4.97
192002,5.455347649907772,4.9799999999999995
192003,5.798822727557158,4.99
192004,5.599858725506184,5.0
192005,5.188950462047495,5.01
192006,5.04363968045162,5.02
192007,5.080592919540795,5.029999999999999
192008,5.020701077922857,5.039999999999999
192009,5.297162770108058,5.05
192010,5.351177393424156,5.0600000000000005
192011,5.1264079309479245,5.069999999999999
192012,4.784241045083246,5.079999999999999
192101,5.122184146887372,5.09
192102,5.2748571912050455,5.024166666666666
192103,5.192348158684176,4.958333333333333
192104,5.297085922739674,4.8925
192105,5.609469225330776,4.826666666666666
192106,5.216110960989321,4.760833333333333
192107,5.1977793619054715,4.695
192108,5.161294823215732,4.629166666666666
192109,5.37752442545826,4.5633333333333335
192110,5.479257678053349,4.4975
192111,5.838196993200892,4.431666666666667
192112,6.114158849417271,4.365833333333333
192201,6.287087290347129,4.3
192202,6.4613058726969825,4.305
192203,6.82138724903604,4.3100000000000005
192204,7.27325339020986,4.3149999999999995
192205,7.593467258919377,4.32
192206,7.557987351755126,4.325
192207,7.60209504577403,4.33
192208,8.020030689895775,4.335
192209,8.265083002284301,4.34
192210,8.432151998761896,4.345
192211,7.998253772269836,4.35
192212,7.964679864940001,4.3549999999999995
192301,8.154200483069156,4.36
192302,8.533360579065972,4.335
192303,8.700737500978533,4.31
192304,8.372809668463818,4.285
192305,8.000497867598213,4.26
192306,7.671825282673083,4.234999999999999
192307,7.345985119490652,4.21
192308,7.441783174217374,4.185
192309,7.458183867189799,4.16
192310,7.3174003956214815,4.135
192311,7.546327911916237,4.109999999999999
192312,7.8097391449387485,4.085
192401,8.072249446037382,4.06
192402,8.16206622085036,4.043333333333333
192403,8.058077044116096,4.026666666666666
192404,7.923620348327986,4.01
192405,7.899698330665295,3.993333333333333
192406,8.05167694639665,3.9766666666666666
192407,8.377712139971836,3.96
192408,8.717418308548332,3.943333333333333
192409,8.581670375209056,3.9266666666666667
192410,8.419491035872426,3.91
192411,8.888327361250973,3.8933333333333335
192412,9.310639680416376,3.876666666666667
192501,9.692618852254999,3.86
192502,9.830804722819575,3.845
192503,9.518537538810033,3.83
192504,9.476566787903069,3.815
192505,9.729007694021332,3.8
