yyyymm,PLS_SENT,PLS_SENT_ORTH
198102,1.810224307029456,2.197453881606978
198103,1.866742296424683,2.19624067695376
198104,1.998021150503375,2.109645329978397
198105,1.911234211324094,1.881564632037267
198106,1.871646982054224,1.976441516821219
198107,1.806062642096572,1.995410559949578
198108,2.156531928550206,1.299702644097856
198109,2.198556022116835,1.770566713823635
198110,2.640743762427929,2.280351187176196
198111,2.572231499237454,2.429605016512716
198112,2.739606512243909,2.667853853473874
198201,2.614841269172509,2.347050475522105
198202,2.579303826104866,1.999938561458094
198203,2.548973649799904,1.949078189894528
198204,2.376538662363852,1.763758303916568
198205,2.227190356644897,1.829326073671627
198206,2.038739853488227,1.703210833439557
198207,2.021822038750897,1.811034629959677
198208,1.752171659368075,1.661602416773219
198209,1.612754118812501,1.304818325736227
198210,1.27005896792725,0.9753676164372902
198211,1.261569086201284,0.7450198187388892
198212,1.077549496818004,1.374069145302515
198301,0.9694294108445555,1.141574865462749
198302,0.8509660431694036,1.296498591488419
198303,0.8000377338698065,1.306281196099666
198304,0.75015589772923,1.157315706144534
198305,0.659278361427318,0.8936119068927211
198306,0.7767177519238881,1.04552584746767
198307,0.7428204928574867,0.778723249742497
198308,0.8330541144189461,0.9230622260835744
198309,0.9347810855083037,1.019388327046458
198310,1.177090312840396,1.173996534362957
198311,1.537337797897626,1.655136120979292
198312,1.808331816976103,1.543001909913563
198401,1.879229976109908,1.994161807635427
198402,1.85306760619232,1.995680598545463
198403,1.926694361775325,1.918926593563272
198404,1.941307117549918,1.991052881430319
198405,2.182560752043579,2.181273514953271
198406,2.1662304640191,2.039649839316475
198407,1.977639507434291,1.958715343057835
198408,1.648837592627258,1.80146390158483
198409,1.413196567055931,1.68480089832229
198410,1.105124735129134,1.374562713935238
198411,0.8096899545037999,0.9890992947716056
198412,0.4964609414813478,0.6830672203249162
198501,0.4054678900543973,0.2779940573784112
198502,0.3576367040924155,0.2860435189999302
198503,0.2142928879874256,0.3290321486275357
198504,0.1616101925800394,0.2776864116228531
198505,0.006562508186434434,0.0815888118321114
198506,-0.2066651127147483,-0.2130451249028075
198507,-0.2781050313853002,-0.07590313825332896
198508,-0.2845352277307072,-0.1906860582302617
198509,-0.2915685978668686,-0.4617766873382418
198510,-0.2414346674417259,-0.2124477617722395
198511,-0.2159389283514799,-0.1130435128067106
198512,-0.07819929982870637,0.03734287893484804
198601,-0.09146223594148203,0.2127391847097991
198602,-0.1064297527570866,0.05344575828126479
198603,-0.02622745494489295,0.02036905841335752
198604,-0.09355560831952138,-0.2841954503638203
198605,0.01832099666729264,-0.03486855247703972
198606,0.05157385600235328,0.2243006969385201
198607,0.03504677064704352,-0.05343819269286973
198608,0.02826365174455932,-0.1184876038109759
198609,0.0353857804705423,-0.2032852108834801
198610,-0.05523184999281412,-0.2158303234704001
198611,-0.04592819102199418,-0.2796462603650078
198612,-0.05499636974014969,-0.2902750501500275
