ym,bullish,neutral,bearish,spread,n_weeks
199206,0.365,0.3925,0.24250000000000002,0.12249999999999997,4
199207,0.254,0.434,0.312,-0.057999999999999996,5
199208,0.265,0.3675,0.3675,-0.10249999999999998,4
199209,0.20500000000000002,0.3975,0.39749999999999996,-0.19249999999999995,4
199210,0.254,0.32199999999999995,0.42400000000000004,-0.17000000000000004,5
199211,0.4425,0.365,0.1925,0.25,4
199212,0.495,0.345,0.16,0.33499999999999996,4
199301,0.43,0.366,0.20400000000000001,0.22599999999999998,5
199302,0.4275,0.31,0.2625,0.16499999999999998,4
199303,0.39,0.3375,0.2725,0.1175,4
199304,0.3,0.378,0.32199999999999995,-0.021999999999999964,5
199305,0.215,0.3925,0.3925,-0.17750000000000002,4
199306,0.265,0.37,0.365,-0.09999999999999998,4
199307,0.22000000000000003,0.442,0.33799999999999997,-0.11799999999999994,5
199308,0.2675,0.39749999999999996,0.335,-0.0675,4
199309,0.32,0.3425,0.3375,-0.017500000000000016,4
199310,0.34199999999999997,0.344,0.314,0.02799999999999997,5
199311,0.365,0.3175,0.3175,0.04749999999999999,4
199312,0.366,0.336,0.298,0.068,5
199401,0.4175,0.2875,0.29500000000000004,0.12249999999999994,4
199402,0.42,0.305,0.275,0.14499999999999996,4
199403,0.27199999999999996,0.374,0.354,-0.08200000000000002,5
199404,0.275,0.32499999999999996,0.4,-0.125,4
199405,0.3025,0.3325,0.365,-0.0625,4
199406,0.32,0.414,0.266,0.05399999999999999,5
199407,0.28500000000000003,0.38,0.335,-0.04999999999999999,4
199408,0.295,0.42000000000000004,0.285,0.010000000000000009,4
199409,0.42000000000000004,0.32,0.26,0.16000000000000003,5
199410,0.375,0.3725,0.2525,0.1225,4
199411,0.398,0.3,0.302,0.09600000000000003,5
199412,0.3625,0.345,0.2925,0.07,4
199501,0.3875,0.3725,0.24,0.14750000000000002,4
199502,0.4025,0.385,0.21250000000000002,0.19,4
199503,0.47800000000000004,0.308,0.21400000000000002,0.264,5
199504,0.4275,0.26,0.3125,0.11499999999999999,4
199505,0.43,0.255,0.315,0.11499999999999999,4
199506,0.404,0.278,0.318,0.08600000000000002,5
199507,0.4075,0.27,0.3225,0.08499999999999996,4
199508,0.374,0.354,0.272,0.10199999999999998,5
199509,0.4275,0.3,0.2725,0.15499999999999997,4
199510,0.4325,0.33,0.2375,0.195,4
199511,0.48200000000000004,0.296,0.22200000000000003,0.26,5
199512,0.4825,0.28250000000000003,0.235,0.2475,4
199601,0.44333333333333336,0.29,0.26666666666666666,0.1766666666666667,3
199602,0.51,0.266,0.22400000000000003,0.286,5
199603,0.43,0.3125,0.2575,0.1725,4
199604,0.36,0.4075,0.23249999999999998,0.1275,4
199605,0.48600000000000004,0.346,0.168,0.31800000000000006,5
199606,0.44999999999999996,0.3225,0.2275,0.22249999999999995,4
199607,0.3275,0.39,0.2825,0.04500000000000004,4
199608,0.31,0.41200000000000003,0.278,0.03199999999999997,5
199609,0.2925,0.40249999999999997,0.305,-0.012500000000000011,4
199610,0.392,0.32999999999999996,0.278,0.11399999999999999,5
199611,0.395,0.34,0.265,0.13,4
199612,0.3775,0.28750000000000003,0.335,0.04249999999999998,4
199701,0.418,0.356,0.22599999999999998,0.192,5
199702,0.4975,0.31,0.1925,0.305,4
199703,0.35,0.3875,0.2625,0.08749999999999997,4
199704,0.28500000000000003,0.395,0.32,-0.034999999999999976,4
199705,0.356,0.398,0.246,0.10999999999999999,5
199706,0.53,0.2975,0.1725,0.35750000000000004,4
199707,0.49800000000000005,0.288,0.21400000000000002,0.28400000000000003,5
199708,0.4875,0.2975,0.215,0.27249999999999996,4
199709,0.395,0.4,0.20500000000000002,0.19,4
199710,0.41,0.40800000000000003,0.182,0.22799999999999998,5
199711,0.40750000000000003,0.3825,0.21000000000000002,0.1975,4
199712,0.42000000000000004,0.364,0.21600000000000003,0.20400000000000001,5
199801,0.3725,0.41500000000000004,0.21250000000000002,0.15999999999999998,4
199802,0.425,0.3925,0.1825,0.2425,4
199803,0.455,0.3575,0.1875,0.2675,4
199804,0.44800000000000006,0.33799999999999997,0.21400000000000002,0.23400000000000004,5
199805,0.37,0.385,0.245,0.125,4
199806,0.2725,0.4375,0.29000000000000004,-0.017500000000000016,4
199807,0.37,0.422,0.20800000000000002,0.16199999999999998,5
199808,0.2625,0.39,0.34750000000000003,-0.08500000000000002,4
199809,0.3,0.3525,0.34750000000000003,-0.04750000000000004,4
199810,0.314,0.366,0.32,-0.006000000000000005,5
199811,0.44,0.38749999999999996,0.17250000000000001,0.26749999999999996,4
199812,0.418,0.32999999999999996,0.252,0.16599999999999998,5
199901,0.48,0.31,0.21000000000000002,0.26999999999999996,4
199902,0.425,0.3775,0.1975,0.22749999999999998,4
199903,0.39749999999999996,0.3775,0.22499999999999998,0.1725,4
199904,0.392,0.33599999999999997,0.272,0.12,5
199905,0.445,0.33999999999999997,0.21500000000000002,0.22999999999999998,4
199906,0.33,0.375,0.29500000000000004,0.034999999999999976,4
199907,0.458,0.32599999999999996,0.21600000000000003,0.242,5
199908,0.315,0.43000000000000005,0.255,0.06,4
199909,0.376,0.394,0.23000000000000004,0.14599999999999996,5
199910,0.38,0.38,0.24,0.14,4
199911,0.48,0.3025,0.2175,0.26249999999999996,4
199912,0.58,0.268,0.152,0.42799999999999994,5
200001,0.61275,0.212025,0.1752,0.43755,4
200002,0.40405,0.32685,0.26905,0.135,4
200003,0.4992,0.22746,0.27334,0.22585999999999995,5
